,PC1,PC2,PC3,PC4,PC5,PC6
x_mean,0.03192539874855694,0.32867239608314613,0.12495406075128508,-0.011958897316983573,0.06216712827296664,0.009811000718568686
x_std,0.18598725210828396,-0.15888117015927974,-0.12098963221509013,0.009724044551317226,-0.10867350644877964,-0.14944599764759478
x_var,0.18221408656871702,-0.1700246497122574,-0.10252192721327587,0.013524074385651081,-0.10466785390216755,-0.17091453949478544
x_min,-0.1151897018326124,0.28153037709162626,-0.08148220996761156,0.0664840787605065,0.06411120235713089,0.11084508997827495
x_max,0.021231082402535097,-0.033523625761955375,-0.2160452877273494,-0.28363308558368905,0.2075387237528619,0.07728550823861907
x_median,0.10022218120892061,0.2737610435457189,0.11653256607479752,-0.01677183534693233,0.07708159148983869,-0.07119931354410848
x_range,0.11371119095813695,-0.27068490767567127,-0.01054669303750604,-0.17248831360106814,0.02308451025305152,-0.07094600166320673
x_iqr,0.17433607720373318,-0.1258128897925462,-0.1545983202383691,0.11952274036090747,-0.10717825160132272,-0.18159839426948193
x_skew,-0.1771729235978159,-0.014071720737512249,-0.19123568299316188,-0.09151441312708328,0.030049514634551616,0.1368010442436589
x_kurt,-0.13995880551249862,-0.12722183487133468,0.05531323821041987,-0.2781172512146969,0.10594382086346017,0.06329164932155865
y_mean,-0.11240702336006109,0.04693318616814681,0.1322551345464937,0.3471562758821685,0.35837021397338936,-0.06339114216650286
y_std,0.1966917058688626,0.13107368994685445,0.14575620476737156,0.06353193138492362,-0.00956674027583613,-0.03817354612276564
y_var,0.20265058443138131,0.12310138688432576,0.12537882189983068,0.031278287149407474,-0.003775792753495664,-0.018135877596403026
y_min,0.07708753330975972,-0.05556183417941701,-0.3225405503063702,0.159290806916367,0.10675718003154737,-0.012562457638605645
y_max,0.1947423560173754,0.03873195393626317,0.13506954546562233,0.13018721753161355,0.25302636987290533,-0.013513273665955587
y_median,-0.14459251640463822,0.04525888616342214,0.14860651692454946,0.30109967158788054,0.2683568575173954,-0.01578609078014908
y_range,0.15202077759745103,0.06364462052976053,0.28263652561534053,0.05084561380569956,0.19440922077105874,-0.007149439682209499
y_iqr,0.1928608111650299,0.15542115494598321,-0.01877471464508289,0.04789786756259919,-0.08648576849554754,-0.12212061756775984
y_skew,0.21344236961954735,-0.03223923525931398,-0.1302534174067977,-0.03512001401144346,0.008902180411517425,-0.00023156158384049863
y_kurt,-0.147602270968799,-0.13377138819185397,0.13107477486158867,-0.06134676429517496,0.062252127566167575,0.006786825464156147
z_mean,-0.14381165991008485,-0.17572353470924468,0.22258963943934504,0.0795038448484562,-0.0563592386366446,-0.20746419762129228
z_std,0.1401412665336405,0.2426034258941988,-0.021411792075472662,-0.10847761443210258,-0.030091811574905925,-0.19760615096776152
z_var,0.13382023678060606,0.2530557953454977,-0.03257156410391857,-0.12537339974895262,-0.06603004457386831,-0.18846771281278366
z_min,-0.022735675717840072,-0.1526036528589094,0.10629645665011911,0.2891040813720396,-0.351465495690097,0.1077974945080684
z_max,0.003645324163641866,-0.0843745408317345,0.23990428621807058,-0.039087519013665355,-0.21568655155565583,-0.44567682411385273
z_median,-0.14140749852421677,-0.15220338494477725,0.22683793878587127,0.11570510103934496,-0.03875284268167929,-0.18793220751537393
z_range,0.026139767044863205,0.11080771248458866,0.030396586688025723,-0.32807462264663767,0.24251707346962442,-0.3783721575704284
z_iqr,0.16229360366439285,0.2178264565354672,-0.11299886194663074,-0.08755335467752823,-0.06919571785590842,0.06178890426530717
z_skew,0.19637193125261762,0.12924402128926085,-0.09257715232342191,0.050225339166455975,-0.119953108526672,0.01773490242117204
z_kurt,-0.168922082753987,-0.12549700243870965,0.0734357688108601,-0.16250041834399592,0.14772510187873877,-0.013066774601798501
magnitude_mean,0.030965872741552044,-0.07989383723111965,-0.3038426372926777,0.21279725452591597,0.19876202125342865,-0.3041371977918536
magnitude_std,0.21468818425233024,-0.1181268918655518,0.0492584081031115,0.07133002775279548,0.0459051036767872,0.05160615189697796
magnitude_var,0.2110374922869314,-0.13525970878190657,0.03908317625576207,0.05901638134545306,0.04869481066033516,0.03520253946897806
magnitude_min,-0.1417282981277125,-0.05644419525360561,-0.2317208257069498,-0.07852292315211329,0.040541937283080885,-0.18712214726090629
magnitude_max,0.20146091522008983,-0.15647480499252092,0.06480962901538465,0.02340020339591743,0.1240383288756368,-0.030899278097444312
magnitude_median,-0.13743320381849175,0.11736579489189258,-0.18396078717444453,0.19038294710767217,0.13382233542461866,-0.2199296280800686
magnitude_range,0.2058570918703685,-0.11804509201629383,0.11299378654350087,0.039505440423796556,0.09463069868705472,0.02090865403654961
magnitude_iqr,0.19828718024965358,-0.14878002042769833,-0.012427916943284925,0.0968921514940687,-0.0026770960970925275,0.02148553289250423
magnitude_skew,0.13640592957557415,-0.1895378527235917,0.07437900846352295,-0.2146584903788447,0.09296626622865908,0.05174896433281139
magnitude_kurt,0.07828346508263144,-0.09829224579148599,0.20734961730033405,-0.24451443852822957,0.25528785786527225,-0.04716032385492195
corr_xy,-0.13493230312671448,-0.06990723715803605,-0.2331487240429668,0.10044597795008235,0.16980763386828515,-0.25146836129569816
corr_xz,0.1715737381620328,-0.07147516924110134,-0.05858773835334588,0.12466141549574486,0.23910162001049154,0.19148490978355823
corr_yz,-0.17381282846819066,0.13207680602055202,0.09602948046996164,-0.022109737354221504,-0.20830229034191367,-0.2140171705597526
