time,x,y,z
0.000000,-0.030365,-0.604065,-0.751129
0.100000,0.041245,-0.596420,-0.454346
0.200000,-0.023819,-0.290985,-2.121704
0.300000,0.065018,-0.510727,-0.744385
0.400000,0.110611,-0.379822,-0.868607
0.500000,-0.040756,-0.521652,-0.836609
0.600000,-0.121826,-0.407639,-0.759460
0.700000,-0.084579,-0.475388,-0.579956
0.800000,-0.183075,-0.199707,-0.248108
0.900000,-0.558731,0.171524,-0.175308
1.000000,-1.042877,0.816360,-0.161575
1.100000,-1.247864,1.373932,-0.015121
1.200000,-1.509018,1.281021,-0.312317
1.301000,-0.780167,0.883743,0.151642
1.401000,-0.748795,0.724350,-0.040359
1.501000,-0.655212,0.809967,0.046783
1.601000,-0.546265,0.805740,0.036499
1.701000,-0.431061,0.860031,0.057388
1.801000,-0.465179,0.727844,0.108398
1.901000,-0.737198,1.020096,0.125092
2.001000,-0.596649,0.651505,0.101883
2.101000,-0.658966,0.631836,0.114563
2.201000,-0.713287,0.718414,0.112595
2.301000,-0.865509,0.983398,0.229538
2.401000,-0.596588,0.907120,0.181168
2.501000,-0.510849,0.676498,0.105331
2.601000,-0.582870,0.990204,0.003265
2.702000,-0.355698,0.644730,0.090576
2.802000,-0.484360,0.624786,0.023071
2.902000,-0.713882,0.877411,0.111465
3.002000,-0.704453,0.966187,0.104004
3.102000,-0.750443,0.820557,0.154465
3.202000,-0.574814,0.640427,0.006607
3.302000,-0.468277,0.467163,0.133911
3.402000,-0.738998,0.653046,0.154678
3.502000,-0.927872,0.886536,0.226120
3.602000,-0.820572,0.671524,0.060410
3.702000,-0.809647,0.995178,0.035690
3.802000,-0.561661,0.543610,0.050858
3.902000,-0.475388,0.412476,0.089371
4.002000,-0.652008,0.754868,0.080475
4.102000,-0.907455,1.119034,0.142532
4.202000,-0.945206,0.850433,0.187820
4.303000,-0.594193,0.457245,0.083969
4.403000,-0.503494,0.358673,0.116028
4.503000,-0.781723,0.564224,0.168274
4.603000,-1.015945,0.905762,0.281265
4.703000,-0.832382,0.674728,0.154648
4.803000,-0.782913,0.904129,0.020721
4.903000,-0.402756,0.413040,0.094116
5.003000,-0.482086,0.584869,0.126602
5.103000,-0.782867,0.839554,0.187912
5.203000,-0.906616,0.746826,0.075134
5.303000,-0.855682,0.864136,0.180618
5.403000,-0.483795,0.335724,0.132690
5.503000,-0.565048,0.528564,0.112000
5.603000,-0.916809,0.566010,0.187531
5.704000,-0.838593,0.898590,0.136765
5.804000,-0.918671,0.902878,0.131271
5.904000,-0.631271,0.657135,0.018539
6.004000,-0.311478,0.350983,0.129929
6.104000,-0.748520,0.677917,0.104889
6.204000,-1.005463,0.854630,0.261581
6.304000,-0.884018,0.821991,0.170776
6.404000,-0.743118,0.625748,0.155426
6.504000,-0.471039,0.310333,0.071625
6.604000,-0.756241,0.721970,0.133530
6.704000,-1.026337,0.735153,0.307770
6.804000,-0.849625,0.598312,0.126923
6.904000,-0.810425,0.935867,0.028503
7.004000,-0.607300,0.434174,0.157837
7.104000,-0.486267,0.458694,0.095551
7.205000,-0.647430,0.620270,0.097809
7.305000,-0.984940,0.995728,0.130539
7.405000,-0.894608,1.004272,0.128220
7.505000,-0.683655,0.487381,0.177689
7.605000,-0.470184,0.330215,0.155472
7.705000,-0.774017,0.614868,0.169434
7.805000,-1.136520,0.817780,0.200562
7.905000,-0.923813,0.646698,0.180649
8.005000,-0.707550,0.853745,-0.058319
8.105000,-0.403641,0.567307,0.107925
8.205000,-0.514908,0.508423,0.090088
8.305000,-0.687180,0.714737,0.180984
8.405000,-0.805206,0.878036,0.135574
8.505000,-0.958130,1.005875,0.186768
8.606000,-0.665390,0.483902,0.178268
8.706000,-0.452682,0.345184,0.073013
8.806000,-0.814316,0.580826,0.126083
8.906000,-1.092209,0.940628,0.176468
9.006000,-0.904510,0.665894,0.179443
9.106000,-0.753693,0.779800,-0.056473
9.206000,-0.459183,0.415054,0.130463
9.306000,-0.527130,0.625351,0.024673
9.406000,-0.710205,0.859772,0.198013
9.506000,-0.866730,0.756729,-0.050507
9.606000,-0.843842,0.843491,0.060776
9.706000,-0.533981,0.438614,0.157043
9.806000,-0.531494,0.515869,0.143356
9.906000,-0.942459,0.529922,0.136444
10.006000,-1.043701,1.010254,0.065384
10.106000,-0.833221,0.849731,0.288803
10.207000,-0.620987,0.654739,-0.022156
10.307000,-0.403946,0.410889,0.129074
10.407000,-0.574173,0.621628,0.009827
10.507000,-0.809433,0.874695,0.246353
10.607000,-1.153915,0.772552,0.092133
10.707000,-0.725784,0.681915,0.085419
10.807000,-0.386292,0.327026,0.106720
10.907000,-0.693863,0.604172,0.055984
11.007000,-0.921265,0.760590,0.147675
11.107000,-0.998734,0.750443,0.071213
11.207000,-0.821289,0.893768,0.036499
11.307000,-0.485916,0.577148,0.029343
11.407000,-0.464798,0.507706,0.076904
11.508000,-0.528885,0.567551,0.069580
11.607000,-1.001450,1.030106,0.251434
11.708000,-0.999695,0.928940,0.054077
11.808000,-0.728104,0.675766,0.102448
11.908000,-0.427582,0.338120,0.026215
12.008000,-0.703949,0.687820,0.118576
12.108000,-1.052292,0.804962,0.117493
12.208000,-0.860077,0.632324,0.072800
12.308000,-0.825531,0.890244,-0.079239
12.408000,-0.512802,0.566010,0.015152
12.508000,-0.484131,0.479523,0.019897
12.608000,-0.644516,0.684143,0.045517
12.708000,-0.989868,1.004715,0.125412
12.808000,-0.947784,0.971405,0.130005
12.908000,-0.679901,0.557312,0.060272
13.008000,-0.459122,0.370026,0.065308
13.109000,-0.783493,0.565872,-0.096954
13.209000,-1.070816,0.837112,0.166351
13.309000,-0.814651,0.632431,0.171371
13.409000,-0.815262,0.908752,-0.016068
13.509000,-0.375748,0.584061,0.044952
13.609000,-0.516312,0.546219,0.024841
13.709000,-0.610947,0.662888,0.117752
13.809000,-1.024872,1.071091,0.053009
13.909000,-0.907410,1.006241,0.136612
14.009000,-0.643784,0.541046,0.093292
14.109000,-0.451996,0.413498,0.050369
14.209000,-0.748215,0.591629,0.102356
14.309000,-0.994171,0.822159,0.148743
14.409000,-0.882278,0.708618,0.057632
14.510000,-0.837784,0.919266,-0.059387
14.610000,-0.442383,0.515594,0.107086
14.710000,-0.461258,0.496231,0.080673
14.810000,-0.689514,0.710693,0.099258
14.910000,-1.005692,1.020981,0.061188
15.010000,-0.891602,1.009460,0.171967
15.110000,-0.611923,0.533051,0.094193
15.210000,-0.492355,0.352158,0.044067
15.310000,-0.693604,0.557526,0.001358
15.410000,-1.142273,0.805908,0.109482
15.510000,-0.922287,0.584137,0.024292
15.610000,-0.800629,0.926514,-0.113602
15.710000,-0.492615,0.539230,0.103912
15.810000,-0.486221,0.477051,0.098740
15.911000,-0.606171,0.644485,0.053192
16.011000,-1.030014,1.018829,0.154755
16.111000,-0.994904,0.923370,0.106827
16.211000,-0.765747,0.496567,0.070984
16.311000,-0.448013,0.396851,0.043991
16.411000,-0.687897,0.601761,0.030807
16.511000,-1.124786,0.757843,0.157425
16.611000,-0.944077,0.699326,0.126556
16.711000,-0.745346,0.868988,-0.017456
16.811000,-0.532043,0.537460,0.056259
16.911000,-0.600937,0.483398,0.057266
17.011000,-0.578888,0.575500,0.002792
17.111000,-0.993271,0.979935,0.126465
17.211000,-0.987152,0.883545,0.136612
17.311000,-0.791702,0.580521,0.128647
17.411000,-0.460785,0.310684,0.113129
17.512000,-0.680145,0.626129,0.060165
17.612000,-1.057648,0.770004,0.139160
17.712000,-1.042618,0.645996,-0.060242
17.812000,-0.830261,0.990234,0.132034
17.912000,-0.357697,0.674118,0.059372
18.012000,-0.638992,0.509750,0.044586
18.112000,-0.598221,0.616150,-0.047455
18.212000,-0.899567,0.859573,0.089081
18.312000,-0.968933,0.748199,0.016968
18.412000,-0.728104,0.688309,0.085281
18.512000,-0.494385,0.355850,0.095367
18.612000,-0.603455,0.672623,0.062119
18.713000,-0.800720,0.578064,0.144653
18.812000,-1.043701,0.913330,0.011475
18.912000,-0.930069,0.834656,0.123703
19.013000,-0.533768,0.671005,0.117401
19.113000,-0.463013,0.451370,0.019989
19.213000,-0.611908,0.573883,-0.003098
19.313000,-0.717300,0.820114,0.084213
19.413000,-0.924591,0.772583,-0.056808
19.513000,-0.886307,0.812302,0.135773
19.613000,-0.551193,0.452774,0.057083
19.713000,-0.568359,0.551559,0.112686
19.813000,-0.760971,0.498596,0.104721
19.913000,-1.026169,0.913818,0.085175
20.013000,-0.902222,0.772339,0.001373
20.113000,-0.708588,0.774185,-0.000458
20.213000,-0.498840,0.532166,0.098709
20.314000,-0.568329,0.564804,0.000244
20.414000,-0.623306,0.554031,0.216888
20.514000,-0.957855,0.875214,0.047882
20.614000,-0.918869,0.576218,0.029922
20.714000,-0.771469,0.657700,0.044754
20.814000,-0.606781,0.565903,0.132126
20.914000,-0.640381,0.598648,0.081558
21.014000,-0.679077,0.652039,0.081711
21.114000,-0.878433,0.734711,0.104538
21.214000,-0.758545,0.756866,0.099014
21.314000,-0.723099,0.827087,0.089478
21.414000,-0.622238,0.695709,0.015503
21.514000,-0.619736,0.719803,-0.004990
21.615000,-0.667496,0.816467,0.054413
21.714000,-0.654587,0.707626,0.051712
21.815000,-0.613678,0.633972,-0.012543
21.915000,-0.782944,0.699692,0.077362
22.015000,-0.739746,0.700180,0.064056
22.115000,-0.947098,0.595917,0.028397
22.215000,-1.335632,0.496017,-0.002594
22.315000,-1.655701,0.537674,-0.136322
22.415000,-1.363068,0.330963,-0.079163
22.515000,-0.775742,0.107269,-0.186691
22.615000,-0.417618,-0.293381,-0.186966
22.715000,-0.210678,-0.508408,-0.161530
22.815000,-0.004929,-0.630615,-0.278534
