time,x,y,z
0.000000,0.620514,-0.545959,-0.748688
0.100000,0.272644,-0.310837,-0.839951
0.200000,-0.248383,-0.246216,-0.969559
0.300000,-0.099289,-0.128906,-0.667068
0.400000,-0.063187,-0.151871,-1.406723
0.500000,0.123886,-0.392731,-0.935501
0.600000,0.112869,-0.207336,-0.491119
0.700000,-0.178467,-0.060242,-1.209778
0.799000,-0.439133,0.130402,-1.336197
0.899000,-0.904770,0.256775,-0.961365
0.999000,-0.730911,0.166412,-0.430344
1.099000,-0.761688,0.088165,-0.359741
1.199000,-0.671112,0.254822,-0.279678
1.299000,-1.205719,0.562027,-0.284286
1.399000,-1.301666,0.624329,-0.232330
1.499000,-1.045776,0.280197,0.162323
1.599000,-0.636871,0.447281,-0.092819
1.699000,-0.788742,0.438828,-0.300339
1.799000,-0.950302,0.272186,-0.038391
1.899000,-1.515839,0.734344,0.093231
1.999000,-1.225327,0.448242,-0.132477
2.099000,-0.803757,0.523941,-0.131607
2.199000,-0.725769,0.440872,-0.034988
2.299000,-0.556198,0.482132,-0.082779
2.399000,-0.655426,0.688919,-0.021729
2.499000,-0.907303,0.785416,-0.193542
2.599000,-1.187698,0.519028,0.198090
2.699000,-0.731781,0.299133,-0.107788
2.799000,-0.750076,0.371765,-0.129044
2.899000,-1.054855,0.326691,-0.059479
2.999000,-1.536819,0.695755,-0.068466
3.099000,-1.196396,0.571991,-0.173172
3.199000,-0.944702,0.531189,-0.169754
3.299000,-0.735764,0.563446,-0.035477
3.399000,-0.500504,0.554138,0.077423
3.499000,-0.740540,0.739502,0.003738
3.599000,-1.235809,0.555374,-0.142609
3.699000,-0.741013,0.440659,0.271591
3.798000,-0.855347,0.372513,-0.189072
3.899000,-1.076935,0.352463,-0.117996
3.999000,-1.443985,0.336945,0.121552
4.098000,-1.326538,0.414703,-0.102585
4.198000,-1.146408,0.710938,-0.250397
4.298000,-0.910706,0.687027,-0.062149
4.398000,-0.413254,0.524078,0.035675
4.498000,-0.360001,0.592926,0.014832
4.598000,-0.933014,0.778397,0.100174
4.698000,-1.591019,0.688156,-0.074966
4.798000,-0.964035,0.269516,0.029922
4.898000,-0.933411,0.313751,-0.063354
4.998000,-1.145950,0.287338,-0.061188
