time,x,y,z
0.000000,-0.757736,1.185654,-0.845688
0.100000,-0.879837,0.845367,-0.979263
0.200000,-0.902985,0.747604,-0.729477
0.300000,-0.713043,0.706390,-0.609680
0.400000,-0.719574,0.736908,-0.455093
0.500000,-0.724884,0.706787,-0.358673
0.600000,-0.623459,1.091293,-0.131119
0.700000,-0.327133,1.115921,0.094803
0.800000,-0.383392,1.220093,-0.034897
0.900000,-0.705566,1.194305,-0.093674
1.010000,-0.412918,0.589966,-0.106613
1.110000,-0.649948,0.790787,-0.193588
1.211000,-1.025650,0.852417,-0.351639
1.310000,-1.237717,0.874771,-0.443146
1.410000,-0.943100,1.032257,-0.260513
1.511000,-0.656616,0.697235,-0.245148
1.611000,-0.490601,0.969635,-0.057816
1.711000,-0.312881,1.367371,-0.030090
1.811000,-0.020905,1.284744,-0.058167
1.911000,-0.593430,1.295715,0.234634
2.011000,-0.360123,0.722855,-0.053726
2.111000,-0.813446,0.721344,-0.120575
2.211000,-1.103210,0.770721,-0.269089
2.311000,-1.153030,0.961395,-0.507126
2.411000,-1.121277,1.122009,-0.438675
2.511000,-0.611496,0.648590,-0.231949
2.611000,-0.325897,0.747330,-0.052765
2.711000,-0.481110,1.346344,-0.261658
2.812000,-0.290314,1.134964,0.077072
2.911000,-0.678284,1.187057,-0.039413
3.012000,-0.427475,0.555084,0.081512
3.112000,-0.497513,0.809082,-0.045517
3.212000,-1.058426,0.805328,0.044373
3.312000,-1.332947,0.747009,-0.174301
3.412000,-1.148788,1.085236,-0.110840
3.512000,-0.828979,0.758850,-0.177277
3.612000,-0.447952,0.759079,-0.057220
3.712000,-0.492447,1.099442,-0.011215
3.812000,-0.326538,0.934860,-0.140076
3.912000,-0.600632,1.164413,-0.064087
4.012000,-0.505859,0.715851,0.033463
4.112000,-0.585251,0.715149,0.078140
4.212000,-0.957504,0.899277,0.034607
4.312000,-1.153458,0.699753,-0.009247
4.412000,-1.026489,0.986694,0.025970
4.512000,-1.010986,0.890259,-0.255203
4.612000,-0.619278,0.714233,-0.099457
4.713000,-0.427704,0.944046,-0.029282
4.813000,-0.353073,1.127548,-0.138275
4.913000,-0.151016,1.141098,-0.155243
5.013000,-0.739609,1.178314,0.125626
5.113000,-0.485580,0.626358,-0.047119
5.213000,-0.662399,0.906647,-0.059433
5.313000,-1.104324,0.866898,-0.028931
5.413000,-1.356171,0.773926,-0.320282
5.513000,-1.021729,1.100586,-0.248672
5.613000,-0.673233,0.712234,-0.058807
5.713000,-0.552948,0.879288,-0.114029
5.813000,-0.531021,1.197403,-0.048843
5.913000,-0.377472,1.225906,-0.111115
6.013000,-0.654907,1.119537,0.039963
6.113000,-0.369370,0.590378,0.035736
6.213000,-0.584030,0.845154,-0.043350
6.313000,-1.049362,0.923615,0.080078
6.414000,-1.349426,0.790436,-0.119232
6.514000,-1.161484,0.914352,0.070602
6.614000,-0.910706,0.761505,-0.138550
6.714000,-0.643600,0.861237,-0.067657
6.814000,-0.436462,1.167084,-0.073837
6.914000,-0.325592,1.081650,-0.225235
7.014000,-0.377411,1.043762,-0.193558
7.114000,-0.607925,0.897919,0.051651
7.214000,-0.429337,0.658447,-0.024963
7.314000,-0.786255,1.077316,0.008286
7.414000,-1.269791,0.871292,-0.031281
7.514000,-1.193817,0.728821,0.052200
7.614000,-1.146194,1.084641,-0.377884
7.714000,-0.700958,0.762253,-0.081772
7.815000,-0.489777,1.078140,-0.055145
7.914000,-0.393478,1.177231,-0.075333
8.015000,-0.228775,1.347900,-0.200485
8.115000,-0.723953,1.234573,0.277664
8.215000,-0.474213,0.759460,0.027252
8.315000,-0.662399,0.935059,0.069901
8.415000,-1.115509,0.934586,0.064758
8.515000,-1.351212,0.662827,-0.157455
8.615000,-1.044785,1.026566,0.109299
8.715000,-1.001190,1.021423,-0.188705
8.815000,-0.739532,1.111679,-0.123947
8.915000,-0.455872,1.260818,-0.159912
9.015000,-0.197311,0.897430,-0.194397
9.115000,-0.275436,1.125977,-0.057007
9.215000,-0.634781,1.152557,0.104630
9.315000,-0.678375,0.953140,-0.012283
9.415000,-1.020416,1.264038,-0.080963
9.515000,-1.228455,0.855881,0.023117
9.616000,-1.208130,0.777237,-0.256729
9.716000,-1.028290,1.195007,-0.323761
9.816000,-0.762314,0.858765,-0.113953
9.916000,-0.668213,1.099487,-0.128601
10.016000,-0.557053,1.239868,-0.178986
10.116000,-0.333420,1.058014,-0.062103
10.216000,-0.430588,0.983475,-0.172226
10.316000,-0.514313,0.722626,0.003922
10.416000,-0.594025,0.760040,0.169556
10.516000,-0.861191,1.129623,-0.185394
10.616000,-1.324371,0.817856,-0.010590
10.716000,-1.173386,0.930359,-0.018692
10.816000,-0.840347,0.980957,-0.440155
10.916000,-0.558350,0.563416,0.007095
11.016000,-0.600021,1.109741,-0.166702
11.116000,-0.486755,1.009705,-0.163635
11.216000,-0.513535,1.217041,-0.020905
11.316000,-0.682785,1.020905,0.141785
11.417000,-0.518738,0.543182,-0.067383
11.517000,-0.601135,0.895782,-0.004913
11.617000,-0.961685,0.881149,-0.005264
11.717000,-1.140991,0.745590,-0.207169
11.817000,-0.966644,0.938583,-0.022781
11.917000,-0.683167,0.829742,-0.247757
12.017000,-0.577591,0.632217,-0.038544
12.117000,-0.591187,1.144623,-0.197144
12.217000,-0.410049,1.040634,-0.171967
12.317000,-0.266815,1.153610,-0.054794
12.417000,-0.627640,1.039795,0.015717
12.517000,-0.451004,0.634476,-0.003738
12.617000,-0.620209,1.009155,-0.134247
12.717000,-1.079590,1.037796,0.027145
12.817000,-1.281448,0.877426,-0.307205
12.917000,-1.033524,0.977783,-0.150909
13.018000,-0.743576,0.779572,-0.117859
13.118000,-0.608246,1.067841,-0.130585
13.218000,-0.491470,1.204971,-0.114624
13.318000,-0.347946,1.263901,-0.066208
13.418000,-0.637054,1.148376,0.044754
13.518000,-0.403015,0.725143,-0.048477
13.618000,-0.561981,0.881973,-0.060883
13.718000,-0.829224,1.032272,-0.045731
13.818000,-1.117828,1.018646,-0.065994
13.918000,-1.063873,0.797501,-0.048492
14.018000,-0.807312,0.738846,-0.085770
14.118000,-0.633102,0.846069,-0.070038
14.218000,-0.637238,1.237564,-0.169250
14.318000,-0.419540,1.124374,-0.199600
14.418000,-0.041168,1.114502,-0.165787
14.518000,-0.526016,1.081467,0.023178
14.619000,-0.403763,0.660278,0.040909
14.719000,-0.619476,1.009674,-0.077713
14.819000,-0.963318,1.073044,0.058838
14.919000,-1.228958,0.873901,-0.242188
15.019000,-1.015442,1.036331,-0.153275
15.119000,-0.715347,0.640747,-0.038986
15.219000,-0.555786,0.930801,-0.109268
15.319000,-0.598648,1.355316,-0.097702
15.419000,-0.275009,1.136353,-0.122910
15.519000,-0.493332,1.088593,-0.132858
15.619000,-0.306015,0.821960,-0.031540
15.719000,-0.506317,0.843933,0.063705
15.819000,-0.802765,0.980667,-0.014862
15.919000,-1.061890,0.926575,0.066940
16.019000,-1.056686,0.842651,-0.091751
16.120000,-0.795197,0.852203,-0.142303
16.219000,-0.670975,0.740494,-0.098480
16.319000,-0.580612,1.163391,-0.167969
16.420000,-0.523315,1.182816,-0.244064
16.520000,-0.056946,1.116669,-0.256256
16.620000,-0.440979,1.067184,0.233856
16.720000,-0.317307,0.664459,0.089874
16.820000,-0.557190,0.999939,-0.103394
16.920000,-0.960068,1.040100,0.033981
17.020000,-1.226654,1.027786,-0.187363
17.120000,-0.978928,0.939407,-0.073547
17.220000,-0.721954,0.542816,-0.045868
17.320000,-0.674500,0.881866,-0.055283
17.420000,-0.700165,1.102188,-0.200043
17.520000,-0.723114,0.977829,-0.312073
17.620000,-1.018509,0.716125,-0.564194
17.720000,-0.927856,0.604218,-0.472549
