time,x,y,z
0.000000,0.085770,-0.270981,-0.749710
0.100000,-0.044846,-0.332596,-0.959961
0.200000,-0.088089,-0.379959,-1.097046
0.300000,-0.037125,-0.069656,-1.242615
0.400000,-0.123642,-0.142242,-0.854477
0.500000,0.052841,-0.177734,-0.902328
0.601000,0.328735,-0.222275,-0.838715
0.701000,0.209183,-0.022659,-1.350052
0.801000,0.413910,-0.428070,-0.907547
0.901000,0.374725,-0.168030,-0.962234
1.001000,0.378433,-0.177139,-0.823425
1.101000,0.333008,-0.214828,-0.638992
1.201000,0.406296,-0.131226,-1.012146
1.301000,0.302170,-0.241455,-1.131485
1.401000,0.333939,0.146469,-1.523743
1.501000,-0.084824,-0.098495,-1.032547
1.601000,0.152863,-0.263138,-0.550095
1.701000,0.333038,-0.344193,-0.736588
1.801000,0.397415,-0.407074,-1.107697
1.901000,0.328598,-0.301910,-1.196960
2.001000,0.269623,-0.104294,-1.230682
2.101000,0.071762,-0.207718,-0.712845
2.201000,0.161987,-0.312332,-0.580582
2.302000,0.138428,-0.294388,-1.044678
2.402000,0.122528,-0.285477,-1.198990
2.502000,-0.155136,-0.179321,-1.048096
2.602000,-0.111404,-0.254257,-0.640961
2.702000,0.047302,-0.306641,-0.470169
2.802000,0.135696,-0.265396,-1.019470
2.902000,-0.008942,-0.289413,-1.325668
3.002000,-0.182404,-0.113708,-1.227234
3.142000,-0.182983,-0.173904,-0.983749
3.242000,-0.079422,-0.224457,-0.693100
3.343000,-0.088547,-0.277145,-0.931778
3.442000,-0.223465,-0.261673,-1.474167
3.542000,-0.280914,-0.084763,-1.365921
3.642000,-0.172424,-0.108551,-0.800339
3.742000,-0.114120,-0.255478,-0.575500
3.842000,-0.139145,-0.303879,-0.811081
3.943000,-0.210037,-0.421753,-1.057404
4.043000,-0.478012,-0.408951,-1.036972
4.143000,0.017166,-0.083008,-1.049103
4.243000,-0.120346,-0.225677,-0.673676
4.344000,-0.085648,-0.282562,-0.533463
4.443000,-0.348953,-0.471542,-0.920135
4.543000,-0.381226,-0.351425,-1.196304
4.643000,-0.382660,-0.030930,-1.226486
4.743000,-0.329330,-0.084610,-0.880646
4.843000,-0.210831,-0.200592,-0.588043
4.943000,-0.280930,-0.306412,-0.922104
5.043000,-0.245499,-0.436630,-0.993393
5.143000,-0.467422,-0.371780,-1.363861
5.243000,-0.109024,-0.213989,-0.805023
5.344000,-0.132660,-0.182953,-0.779175
5.444000,-0.171310,-0.309906,-0.655212
5.543000,-0.293335,-0.399948,-1.016968
5.643000,-0.308228,-0.269073,-1.212006
5.744000,-0.315842,-0.068253,-1.090027
5.844000,-0.238831,-0.135895,-0.726395
5.944000,-0.191177,-0.199860,-0.648422
6.044000,-0.212509,-0.247772,-1.062134
6.144000,-0.222382,-0.447845,-1.186752
6.244000,-0.272385,-0.373703,-0.943573
6.352000,-0.100082,-0.114807,-1.258713
6.444000,-0.112213,-0.216248,-0.592331
6.544000,-0.146683,-0.289154,-0.719864
6.644000,-0.275803,-0.403397,-1.020737
6.744000,-0.231705,-0.290054,-1.243896
6.844000,-0.277893,-0.123901,-0.905350
6.944000,-0.187561,-0.248901,-0.595718
7.044000,-0.095596,-0.278122,-0.708267
7.144000,-0.207001,-0.351639,-1.069321
7.244000,-0.264557,-0.455185,-1.201874
7.345000,-0.073135,-0.215103,-0.944870
7.445000,-0.059875,-0.172974,-1.119690
7.550000,-0.087173,-0.238556,-0.677124
7.645000,-0.185501,-0.363785,-0.755478
7.745000,-0.269562,-0.327148,-1.145508
7.845000,-0.329178,-0.282623,-1.346695
7.948000,-0.371780,-0.160934,-0.831161
8.045000,-0.128922,-0.235306,-0.526535
8.145000,-0.072189,-0.292358,-0.827606
8.245000,-0.118149,-0.412766,-1.045441
8.349000,-0.291611,-0.486526,-1.274628
8.446000,-0.098480,-0.197311,-0.839050
8.545000,-0.090790,-0.190399,-0.817139
8.645000,-0.173706,-0.290985,-0.674744
8.749000,-0.125244,-0.336288,-0.936783
8.845000,-0.145355,-0.322021,-1.218689
8.946000,-0.187195,-0.031921,-1.519775
9.046000,-0.296707,-0.086517,-1.061401
9.151000,-0.107239,-0.258789,-0.550507
