time,x,y,z
0.000000,0.763321,-0.008087,-0.594391
0.100000,0.783600,0.003159,-0.666428
0.200000,0.778473,-0.002701,-0.651779
0.300000,0.785690,-0.019302,-0.639542
0.400000,0.773148,-0.006851,-0.639771
0.500000,0.770554,-0.003723,-0.611053
0.600000,0.781357,0.008575,-0.621353
0.700000,0.780518,0.000656,-0.617905
0.800000,0.772781,-0.002518,-0.611145
0.900000,0.788193,0.011856,-0.637405
1.000000,0.786743,0.019333,-0.620438
1.100000,0.786835,0.003784,-0.633560
1.200000,0.781464,0.015900,-0.621750
1.300000,0.783340,0.039948,-0.621384
1.400000,0.777039,0.021362,-0.621033
1.500000,0.783920,0.032639,-0.614594
1.600000,0.771774,0.010406,-0.616348
1.700000,0.776077,0.033051,-0.633728
1.800000,0.775833,0.014206,-0.645142
1.900000,0.779465,0.017700,-0.640579
1.999000,0.765442,0.014587,-0.634399
2.099000,0.771378,0.000534,-0.659546
2.199000,0.774567,0.005035,-0.664749
2.299000,0.766617,0.005814,-0.646240
2.399000,0.762955,-0.003860,-0.618652
2.500000,0.765900,0.002197,-0.653198
2.599000,0.771637,-0.008072,-0.630966
2.699000,0.765533,0.004517,-0.646896
2.799000,0.771072,0.003159,-0.646317
2.899000,0.771362,0.014771,-0.627930
2.999000,0.756897,0.004181,-0.625946
3.099000,0.768967,0.002106,-0.652969
3.199000,0.768005,0.010788,-0.647736
3.299000,0.752869,0.007141,-0.630966
3.399000,0.772049,0.004440,-0.655121
3.499000,0.768982,0.005493,-0.646118
3.599000,0.761261,0.007889,-0.621124
3.699000,0.770782,0.005646,-0.647659
3.799000,0.771835,0.009598,-0.654739
3.899000,0.764328,0.016174,-0.632523
3.999000,0.764313,0.006378,-0.668854
4.099000,0.771988,0.004456,-0.657227
4.199000,0.758636,0.014633,-0.629822
4.299000,0.764694,0.009567,-0.653244
4.398000,0.774170,0.008377,-0.659470
4.500000,0.762039,-0.002640,-0.635086
4.598000,0.764938,0.009048,-0.649429
4.699000,0.772491,0.007187,-0.648300
4.798000,0.762863,0.019318,-0.646072
4.898000,0.769196,0.012070,-0.644363
4.998000,0.773590,0.007767,-0.650131
5.098000,0.766891,0.015106,-0.640503
5.198000,0.771011,0.014526,-0.634109
5.298000,0.788849,0.024323,-0.649231
5.398000,0.774323,0.024673,-0.631744
5.498000,0.768524,0.010757,-0.610596
5.598000,0.776749,0.024506,-0.612000
5.698000,0.787888,0.012756,-0.667618
5.798000,0.774673,0.003723,-0.595123
5.898000,0.766403,0.027740,-0.653793
5.998000,0.786026,0.013016,-0.641327
6.098000,0.770432,0.010529,-0.618240
6.198000,0.771820,0.014618,-0.626419
6.298000,0.778488,0.020218,-0.650894
6.398000,0.768951,0.009720,-0.628464
6.498000,0.778305,0.016022,-0.646698
6.598000,0.776016,0.008148,-0.641220
6.698000,0.773605,0.012589,-0.633560
6.798000,0.813354,0.015579,-0.631546
6.898000,0.779846,0.001892,-0.629272
6.998000,0.748642,0.017670,-0.653915
7.098000,0.744644,-0.010773,-0.648010
7.198000,0.789444,-0.007950,-0.648071
7.297000,0.767731,0.003891,-0.624939
