time,x,y,z
0.000000,-0.863708,0.049515,-0.598251
0.100000,-0.753937,0.041992,-0.608582
0.199000,-0.804169,0.080063,-0.641418
0.300000,-0.817413,0.086884,-0.611893
0.400000,-0.779694,-0.008881,-0.588638
0.500000,-0.796448,0.033463,-0.584686
0.600000,-0.828018,0.022415,-0.626312
0.700000,-0.793488,0.040146,-0.609344
0.800000,-0.787506,0.020477,-0.581955
0.900000,-0.793488,0.034546,-0.603241
1.000000,-0.793976,0.024261,-0.631668
1.100000,-0.784683,0.018021,-0.637085
1.200000,-0.778961,0.018799,-0.635193
1.300000,-0.787888,0.026215,-0.614075
1.395000,-0.782990,0.023376,-0.622101
1.495000,-0.786209,0.041595,-0.630920
1.595000,-0.771576,0.017715,-0.628540
1.695000,-0.784744,0.022186,-0.620911
1.795000,-0.778595,0.023209,-0.633682
1.895000,-0.782410,0.028259,-0.633575
1.996000,-0.781021,0.026276,-0.628174
2.095000,-0.775787,0.032898,-0.629944
2.195000,-0.776978,0.030945,-0.626526
2.295000,-0.771423,0.024872,-0.635254
2.396000,-0.776611,0.031998,-0.639114
2.496000,-0.773193,0.026657,-0.629456
2.596000,-0.775940,0.024567,-0.631668
2.696000,-0.775070,0.031052,-0.641159
2.796000,-0.771820,0.033524,-0.643814
2.896000,-0.767899,0.029495,-0.641571
2.996000,-0.764404,0.030853,-0.651398
3.096000,-0.767395,0.030167,-0.632080
3.196000,-0.770157,0.033936,-0.635330
3.296000,-0.771378,0.039322,-0.641190
3.396000,-0.767776,0.033478,-0.636642
3.496000,-0.778030,0.029816,-0.635117
3.596000,-0.772675,0.033127,-0.643631
3.696000,-0.770859,0.037064,-0.636917
3.796000,-0.766876,0.034821,-0.639816
3.896000,-0.770828,0.031067,-0.636658
3.996000,-0.774994,0.035919,-0.627319
4.096000,-0.766327,0.033081,-0.641632
4.197000,-0.775970,0.034622,-0.641113
4.296000,-0.773926,0.030899,-0.630783
4.396000,-0.769760,0.029633,-0.636124
4.497000,-0.773438,0.037842,-0.641495
4.597000,-0.773102,0.039505,-0.630600
4.697000,-0.766937,0.033020,-0.638184
4.797000,-0.768372,0.034103,-0.648987
4.897000,-0.770264,0.032211,-0.646835
4.997000,-0.760300,0.033234,-0.641190
5.097000,-0.763611,0.030136,-0.647354
5.197000,-0.769318,0.031128,-0.641708
5.297000,-0.765442,0.027847,-0.646118
5.397000,-0.767807,0.033691,-0.642685
5.497000,-0.767639,0.030533,-0.638870
5.597000,-0.766754,0.030655,-0.648987
5.697000,-0.763931,0.029587,-0.644180
5.797000,-0.762619,0.033173,-0.653671
5.897000,-0.767334,0.032852,-0.655884
5.997000,-0.765182,0.032837,-0.641922
6.097000,-0.763397,0.027679,-0.648117
6.197000,-0.766037,0.030518,-0.650986
6.297000,-0.769180,0.032196,-0.638184
6.397000,-0.765457,0.034088,-0.638855
6.497000,-0.767761,0.036407,-0.640259
6.597000,-0.769089,0.025131,-0.648285
6.697000,-0.767029,0.035599,-0.640457
6.798000,-0.766846,0.037903,-0.641068
6.898000,-0.768417,0.033783,-0.640366
6.998000,-0.765228,0.034805,-0.645325
7.098000,-0.763977,0.037155,-0.642838
7.198000,-0.768845,0.031494,-0.644455
7.298000,-0.770142,0.029404,-0.648087
7.398000,-0.767868,0.027237,-0.645584
7.498000,-0.760590,0.037476,-0.644485
7.598000,-0.768402,0.034866,-0.653458
7.698000,-0.766006,0.033554,-0.641876
7.798000,-0.760132,0.027573,-0.654205
7.898000,-0.760742,0.034973,-0.651154
7.998000,-0.763153,0.027710,-0.640198
8.098000,-0.764252,0.028015,-0.652786
8.198000,-0.765015,0.022003,-0.644714
8.298000,-0.765579,0.026398,-0.649506
8.398000,-0.767181,0.033096,-0.655426
8.498000,-0.762207,0.021637,-0.651001
8.598000,-0.768555,0.026398,-0.643311
8.699000,-0.766251,0.029022,-0.646912
8.799000,-0.766495,0.029953,-0.640259
8.899000,-0.766281,0.024536,-0.639160
8.999000,-0.769455,0.028320,-0.640121
9.099000,-0.771957,0.024551,-0.628143
9.199000,-0.768051,0.028259,-0.649490
9.299000,-0.771255,0.029343,-0.639740
9.399000,-0.766769,0.019836,-0.635757
9.499000,-0.771729,0.025665,-0.642914
9.599000,-0.771423,0.033615,-0.643387
9.699000,-0.768417,0.037552,-0.639832
9.799000,-0.773743,0.045944,-0.645752
9.899000,-0.769302,0.049942,-0.654510
9.999000,-0.776825,0.027985,-0.627472
10.099000,-0.768814,0.028259,-0.620956
10.199000,-0.778656,0.031738,-0.605194
10.299000,-0.772980,0.068329,-0.590805
10.399000,-0.773865,0.041290,-0.647858
10.499000,-0.761581,0.066772,-0.625137
10.599000,-0.767029,0.080170,-0.639877
10.699000,-0.765900,0.061798,-0.642807
10.799000,-0.764252,0.063309,-0.633820
10.900000,-0.760742,0.078735,-0.657150
