time,x,y,z
0.000000,-0.002960,-0.032791,-1.000824
0.100000,-0.003448,-0.031418,-1.000565
0.200000,-0.002731,-0.032669,-1.002518
0.300000,-0.003128,-0.031479,-0.996216
0.400000,-0.003128,-0.034042,-1.003357
0.501000,-0.002274,-0.032440,-1.003799
0.600000,-0.001434,-0.032181,-1.000061
0.700000,-0.003098,-0.031265,-0.999298
0.801000,-0.002319,-0.032242,-1.003021
0.901000,-0.002182,-0.031189,-0.997269
1.001000,-0.003128,-0.034256,-1.001419
1.101000,-0.002533,-0.032257,-1.001816
1.201000,-0.002792,-0.032104,-1.000595
1.301000,-0.002060,-0.032700,-0.999435
1.401000,-0.001846,-0.032257,-0.998764
1.521000,-0.003387,-0.031311,-0.999863
1.621000,-0.001587,-0.031418,-0.999771
1.721000,-0.001755,-0.030548,-0.997284
1.821000,-0.002396,-0.032608,-1.000656
1.921000,-0.001617,-0.032272,-1.001953
2.021000,-0.002502,-0.031433,-0.997604
2.121000,-0.001892,-0.034576,-1.000366
2.221000,-0.001007,-0.031326,-0.998642
2.321000,-0.003098,-0.032806,-0.998550
2.421000,-0.001694,-0.034485,-0.999817
2.522000,-0.002426,-0.031799,-1.001862
2.622000,-0.002548,-0.031998,-0.998535
2.722000,-0.003677,-0.034042,-0.999023
2.822000,-0.002213,-0.031036,-0.995789
2.922000,-0.001511,-0.034729,-0.998413
3.022000,-0.001495,-0.032761,-0.997101
3.122000,-0.003555,-0.033112,-1.000244
3.222000,-0.003571,-0.032028,-0.996414
3.322000,-0.002792,-0.032578,-0.999207
3.422000,-0.001633,-0.032471,-0.997055
3.522000,-0.002884,-0.033066,-0.997482
3.622000,-0.001434,-0.032272,-0.997116
3.722000,-0.002502,-0.031952,-0.996262
3.822000,-0.002441,-0.033722,-0.998230
3.922000,-0.003815,-0.031418,-0.996124
4.022000,-0.001205,-0.033600,-0.999557
4.122000,-0.002151,-0.033844,-0.998291
4.222000,-0.001953,-0.032166,-0.998978
4.323000,-0.002411,-0.034073,-1.002457
4.422000,-0.003082,-0.030746,-0.995377
4.523000,-0.002777,-0.033752,-0.999878
4.623000,-0.000580,-0.032639,-0.999710
4.723000,-0.001907,-0.033554,-0.996994
4.823000,-0.002579,-0.032150,-0.998840
4.923000,-0.002167,-0.034500,-1.004623
5.023000,-0.001816,-0.031067,-0.996704
5.123000,-0.002472,-0.033325,-1.000778
5.223000,-0.001495,-0.031952,-0.998825
5.323000,-0.003250,-0.032944,-0.999786
5.423000,-0.002060,-0.030441,-0.998230
5.523000,-0.002121,-0.032745,-1.003479
5.623000,-0.001892,-0.031372,-0.999527
5.723000,-0.002823,-0.033234,-1.002182
5.824000,-0.002731,-0.032532,-1.001114
5.923000,-0.002899,-0.033478,-0.998428
6.023000,-0.002151,-0.031555,-0.998688
6.123000,-0.001328,-0.032990,-1.002991
6.223000,-0.002777,-0.032120,-0.999115
6.324000,-0.002228,-0.032196,-1.002914
6.424000,-0.002991,-0.031082,-1.002686
6.524000,-0.003204,-0.033478,-1.000381
6.624000,-0.002472,-0.031540,-0.999191
6.724000,-0.002502,-0.032547,-0.998764
6.824000,-0.000900,-0.031464,-1.001190
6.924000,-0.001770,-0.032806,-1.001465
7.024000,-0.003052,-0.034012,-1.001266
7.124000,-0.001892,-0.030914,-1.000046
7.224000,-0.002777,-0.031265,-1.001083
7.324000,-0.001526,-0.033936,-1.001083
7.424000,-0.003647,-0.031967,-0.994751
7.524000,-0.003357,-0.034271,-1.000732
7.624000,-0.002579,-0.031219,-1.001495
7.724000,-0.002502,-0.032593,-0.999649
7.824000,-0.003235,-0.033234,-0.997589
7.924000,-0.003448,-0.032761,-1.001556
8.024000,-0.002731,-0.032471,-0.996979
8.124000,-0.003372,-0.032318,-0.994904
8.224000,-0.002197,-0.032745,-0.999817
8.325000,-0.001663,-0.033218,-0.999084
8.425000,-0.002686,-0.033005,-1.000763
8.525000,-0.003189,-0.033173,-1.000198
8.625000,-0.004425,-0.031418,-0.997925
8.725000,-0.003052,-0.032104,-0.997879
8.825000,-0.002899,-0.032516,-0.998199
8.925000,-0.001816,-0.032623,-0.997849
9.025000,-0.003113,-0.033157,-0.997757
9.125000,-0.001389,-0.033722,-1.001572
9.225000,-0.002213,-0.031937,-1.000244
9.325000,-0.002869,-0.033203,-0.998459
9.425000,-0.002090,-0.032776,-0.997177
9.525000,-0.003159,-0.031906,-0.996414
9.625000,-0.002563,-0.030869,-0.999741
9.725000,-0.002258,-0.032684,-1.001099
9.825000,-0.002808,-0.033508,-1.000595
9.925000,-0.002075,-0.032364,-0.997665
10.025000,-0.002670,-0.032227,-1.001236
10.125000,-0.002426,-0.032791,-1.000092
10.225000,-0.002243,-0.031006,-0.997818
10.326000,-0.002167,-0.031723,-0.999268
10.426000,-0.001602,-0.032944,-1.000641
10.526000,-0.002182,-0.033005,-1.002640
10.626000,-0.002502,-0.032486,-1.005890
10.726000,-0.001938,-0.032776,-1.000320
10.826000,-0.002640,-0.032181,-1.001083
10.926000,-0.000168,-0.031815,-1.000702
11.026000,-0.002747,-0.033112,-1.003708
11.126000,-0.000748,-0.032135,-1.004822
11.226000,-0.002625,-0.031387,-1.003189
