time,x,y,z
0.000000,-0.001984,-0.032150,-0.997787
0.099000,-0.000793,-0.032364,-1.000549
0.199000,-0.002365,-0.033218,-0.995819
0.299000,-0.002457,-0.032623,-1.001083
0.399000,-0.001572,-0.032013,-0.999405
0.499000,-0.002380,-0.032867,-0.996338
0.599000,-0.003265,-0.031647,-0.999268
0.699000,-0.001846,-0.032288,-1.000504
0.799000,-0.002655,-0.033127,-0.999329
0.899000,-0.002335,-0.031754,-1.000320
0.999000,-0.001251,-0.030701,-0.998367
1.099000,-0.003784,-0.032806,-0.999908
1.199000,-0.002640,-0.030899,-0.999634
1.299000,-0.002319,-0.032730,-1.001572
1.399000,-0.001862,-0.031784,-0.998657
1.499000,-0.002960,-0.033081,-1.000366
1.602000,-0.002426,-0.030518,-1.000946
1.699000,-0.002045,-0.032959,-1.001480
1.799000,-0.002335,-0.032394,-0.998520
1.900000,-0.002182,-0.032791,-1.001999
2.003000,-0.001999,-0.032486,-0.999222
2.100000,-0.001999,-0.033020,-0.998825
2.200000,-0.001038,-0.031677,-1.000839
2.300000,-0.003296,-0.033813,-1.002716
2.400000,-0.002930,-0.031723,-0.996109
2.500000,-0.002670,-0.032806,-1.002441
2.600000,-0.002457,-0.032425,-0.999115
2.700000,-0.003769,-0.032288,-0.995865
2.803000,-0.002548,-0.032318,-1.000046
2.900000,-0.002518,-0.033005,-0.999695
3.000000,-0.001572,-0.030914,-0.994812
3.100000,-0.003281,-0.031982,-1.001343
3.200000,-0.001770,-0.031616,-1.000748
3.300000,-0.002762,-0.032425,-0.997009
3.400000,-0.002304,-0.032883,-0.996414
3.500000,-0.002380,-0.031876,-0.999802
3.600000,-0.002945,-0.032883,-0.995300
3.700000,-0.001938,-0.034714,-1.000122
3.801000,-0.001770,-0.031754,-0.998291
3.901000,-0.002518,-0.033112,-0.996094
4.001000,-0.002686,-0.033051,-0.997330
4.101000,-0.001511,-0.031937,-0.999741
4.201000,-0.001846,-0.032272,-0.994537
4.301000,-0.001709,-0.034012,-0.997543
4.401000,-0.002365,-0.031357,-0.999817
4.501000,-0.004257,-0.032181,-0.996216
4.601000,-0.002472,-0.032455,-0.995392
4.701000,-0.002777,-0.031906,-0.998337
4.801000,-0.000702,-0.033035,-0.995895
4.901000,-0.003769,-0.033569,-0.996277
5.001000,-0.002762,-0.031952,-0.998047
5.101000,-0.002792,-0.032288,-0.998230
5.201000,-0.002197,-0.034256,-0.995331
5.301000,-0.001617,-0.033188,-1.000626
5.401000,-0.001358,-0.032593,-0.995132
5.501000,-0.002930,-0.033997,-0.997238
5.601000,-0.001785,-0.032135,-0.996552
5.701000,-0.002579,-0.033768,-0.998642
5.802000,-0.002121,-0.031509,-0.994339
5.902000,-0.001541,-0.033539,-1.000488
6.002000,-0.001923,-0.031586,-0.997681
6.102000,-0.002197,-0.033173,-0.997421
6.202000,-0.002823,-0.032486,-0.996292
6.302000,-0.001801,-0.032257,-1.000626
6.402000,-0.001831,-0.030975,-0.996658
6.502000,-0.003052,-0.032211,-0.996506
6.602000,-0.002579,-0.030365,-0.999603
6.702000,-0.002090,-0.032593,-0.998688
6.802000,-0.001038,-0.032166,-0.997879
6.902000,-0.001007,-0.031982,-0.997787
7.002000,-0.002274,-0.033020,-0.998535
7.102000,-0.002396,-0.032639,-0.999939
7.202000,-0.001953,-0.033279,-1.002106
7.302000,-0.002640,-0.032181,-0.997971
7.402000,-0.001633,-0.033676,-0.998093
7.502000,-0.000748,-0.031387,-1.000229
7.602000,-0.001740,-0.032486,-0.999954
7.702000,-0.003006,-0.031967,-0.999786
7.802000,-0.001038,-0.031036,-1.002716
7.903000,-0.002731,-0.032471,-0.997894
8.003000,-0.001236,-0.032440,-1.000839
8.103000,-0.001556,-0.031769,-0.999130
8.203000,-0.003708,-0.031647,-0.998520
8.303000,-0.002579,-0.032455,-0.999374
8.403000,-0.001999,-0.032791,-1.000900
8.503000,-0.003159,-0.032455,-0.995117
8.603000,-0.002914,-0.032562,-1.001297
8.703000,-0.001663,-0.031631,-0.999771
8.803000,-0.002151,-0.033905,-0.997971
8.903000,-0.002731,-0.031265,-0.998901
9.003000,-0.003616,-0.033432,-1.000275
9.103000,-0.001511,-0.031570,-0.996780
9.203000,-0.002136,-0.032227,-1.000366
9.303000,-0.003036,-0.029755,-0.997635
9.404000,-0.002579,-0.033203,-0.997986
9.553000,-0.003113,-0.033234,-0.998215
9.654000,-0.001984,-0.031128,-0.998291
9.754000,-0.000961,-0.032181,-0.998093
9.853000,-0.002258,-0.033081,-0.995743
9.954000,-0.001343,-0.033188,-1.001495
10.054000,-0.002075,-0.032410,-0.996979
10.154000,-0.002716,-0.031723,-0.998428
10.254000,-0.000748,-0.032684,-1.001755
10.354000,-0.002090,-0.032654,-0.997635
10.454000,-0.001953,-0.033035,-0.997391
10.554000,-0.001175,-0.032028,-0.999924
10.654000,-0.002304,-0.033905,-0.996979
10.755000,-0.003113,-0.032318,-0.996048
10.854000,-0.001831,-0.032516,-0.999191
10.954000,-0.002792,-0.033966,-0.996582
11.054000,-0.003067,-0.032242,-0.998459
11.154000,-0.001953,-0.032425,-0.998795
11.254000,-0.001114,-0.033875,-0.997253
11.354000,-0.002991,-0.033569,-0.996796
11.454000,-0.001953,-0.031799,-1.000580
11.554000,-0.001526,-0.033905,-0.996902
11.655000,-0.002792,-0.032883,-0.996613
11.755000,-0.002197,-0.032120,-0.998016
11.855000,-0.002716,-0.032135,-0.997025
11.955000,-0.003693,-0.032730,-0.997025
12.055000,-0.000763,-0.032654,-0.998322
12.155000,-0.001831,-0.032425,-0.998642
12.255000,-0.002716,-0.033249,-0.996307
12.355000,-0.001999,-0.032166,-0.997131
12.455000,-0.002274,-0.033417,-0.998871
12.555000,-0.002548,-0.031799,-0.995407
12.655000,-0.002991,-0.032578,-1.000504
12.755000,0.002121,-0.033829,-0.985428
