time,x,y,z
0.000000,-0.015060,-0.801437,-0.411484
0.100000,-0.026917,-0.825027,-0.543335
0.200000,0.038712,-0.797577,-0.496063
0.299000,-0.001251,-0.793610,-0.532333
0.399000,-0.010452,-0.801620,-0.538315
0.500000,-0.083466,-0.839996,-0.620804
0.599000,-0.087891,-0.820831,-0.548492
0.699000,0.027069,-0.800446,-0.474838
0.799000,0.128601,-0.903564,-0.449875
0.899000,-0.046402,-0.804260,-0.741898
0.999000,-0.048981,-0.818176,-0.567062
1.099000,0.039093,-0.838455,-0.500488
1.199000,-0.039261,-0.789520,-0.624481
1.299000,-0.009323,-0.858231,-0.411987
1.399000,-0.028656,-0.815430,-0.626068
1.499000,-0.023102,-0.814697,-0.586594
1.599000,-0.040268,-0.803864,-0.556473
1.699000,0.001602,-0.830307,-0.599365
1.799000,0.083023,-0.844574,-0.534515
1.899000,0.031357,-0.840576,-0.512146
1.999000,0.049088,-0.828827,-0.506897
2.099000,-0.007782,-0.785324,-0.540192
2.199000,-0.063095,-0.826477,-0.516815
2.299000,-0.067841,-0.803314,-0.535797
2.399000,-0.001419,-0.894760,-0.540207
2.499000,0.036407,-0.798355,-0.667206
2.599000,0.011581,-0.818939,-0.541199
2.699000,0.059692,-0.849121,-0.568283
2.798000,0.032120,-0.826691,-0.611328
2.899000,-0.065033,-0.828613,-0.571609
2.998000,-0.044540,-0.810776,-0.532242
3.098000,-0.142517,-0.821945,-0.669830
3.198000,-0.019226,-0.833588,-0.521362
3.298000,-0.032318,-0.853500,-0.516418
3.398000,-0.021042,-0.771317,-0.545944
3.498000,-0.003021,-0.788345,-0.521515
3.598000,0.068146,-0.820068,-0.539078
3.698000,-0.019073,-0.843460,-0.548065
3.798000,0.009491,-0.825150,-0.536011
3.898000,-0.024643,-0.834763,-0.589188
3.998000,0.042038,-0.872040,-0.602417
4.098000,-0.018524,-0.802551,-0.544571
4.198000,0.069183,-0.850937,-0.519501
4.298000,-0.042343,-0.809418,-0.552750
4.398000,0.124710,-0.808243,-0.584061
4.498000,-0.139023,-0.878754,-0.525436
4.598000,0.004944,-0.889618,-0.384232
4.698000,0.059921,-0.878235,-0.645203
4.798000,-0.017960,-0.812515,-0.659622
4.898000,-0.035980,-0.838806,-0.526627
4.998000,-0.019669,-0.838043,-0.574265
5.098000,0.003250,-0.847809,-0.646423
5.198000,-0.066483,-0.812836,-0.560089
5.298000,-0.001999,-0.813538,-0.604660
5.398000,-0.073425,-0.806549,-0.629807
5.497000,-0.147110,-0.841949,-0.563461
5.598000,-0.012634,-0.847763,-0.601547
5.697000,-0.051880,-0.799973,-0.605896
5.798000,-0.064957,-0.806137,-0.566147
5.901000,0.030167,-0.828995,-0.637512
5.997000,-0.034622,-0.801819,-0.575455
6.097000,-0.024918,-0.822845,-0.548019
6.198000,0.145813,-0.836243,-0.547073
6.297000,0.061554,-0.839020,-0.598175
6.399000,0.010498,-0.826447,-0.586243
