time,x,y,z
0.000000,0.156921,-0.803101,-0.652832
0.100000,0.008163,-0.831924,-0.558121
0.200000,-0.095474,-0.683975,-0.595337
0.300000,-0.173813,-0.713196,-0.598724
0.400000,-0.056335,-0.830475,-0.636505
0.500000,-0.003326,-0.796127,-0.464279
0.600000,-0.057831,-0.761642,-0.583618
0.700000,-0.005280,-0.817734,-0.448303
0.800000,-0.021576,-0.774338,-0.611252
0.901000,-0.120499,-0.735016,-0.581940
1.001000,-0.069305,-0.738220,-0.691986
1.101000,0.056931,-0.703033,-0.635101
1.201000,0.129166,-0.753891,-0.671051
1.301000,0.235077,-0.592453,-0.844482
1.401000,0.068451,-0.706512,-0.711212
1.501000,-0.031403,-0.695251,-0.581223
1.601000,0.021164,-0.674805,-0.620728
1.701000,0.027618,-0.705399,-0.687515
1.801000,0.001938,-0.715881,-0.628876
1.901000,-0.073074,-0.723145,-0.677994
2.001000,0.031738,-0.718796,-0.744537
2.101000,-0.001984,-0.688934,-0.692444
2.201000,-0.088226,-0.773666,-0.762482
2.301000,-0.113953,-0.753082,-0.703766
2.401000,0.032425,-0.781723,-0.714066
2.501000,-0.008072,-0.748703,-0.627975
2.601000,-0.084457,-0.786682,-0.565842
2.701000,-0.078506,-0.780701,-0.505142
2.801000,-0.108612,-0.769257,-0.717331
2.902000,-0.073700,-0.804337,-0.634247
3.001000,0.037186,-0.773392,-0.552429
3.102000,0.009628,-0.742142,-0.634125
3.202000,-0.095963,-0.766571,-0.663376
3.302000,-0.015686,-0.782898,-0.546036
3.402000,-0.030685,-0.742477,-0.631088
3.502000,-0.002930,-0.712265,-0.754471
3.602000,0.023209,-0.757858,-0.636658
3.702000,0.041824,-0.736710,-0.619339
3.802000,-0.020691,-0.709152,-0.828186
3.903000,-0.098114,-0.830994,-0.450119
4.002000,-0.004730,-0.721130,-0.719269
4.102000,-0.009827,-0.749390,-0.720428
4.202000,0.029739,-0.762726,-0.549164
4.302000,-0.043488,-0.732880,-0.641190
4.402000,-0.040085,-0.768646,-0.649780
4.502000,-0.006714,-0.757309,-0.673950
