time,x,y,z
0.000000,-0.139526,-0.337112,-0.915985
0.100000,-0.111847,-0.339645,-0.873917
0.200000,-0.143982,-0.340057,-0.865707
0.300000,-0.280090,-0.307236,-0.592957
0.400000,-0.352997,-0.144043,-0.397064
0.500000,-0.610855,0.106094,-0.415619
0.601000,-0.936218,0.501038,-0.308701
0.701000,-1.137375,0.722214,-0.113174
0.801000,-1.048859,1.025894,0.125305
0.906000,-1.298019,0.856598,-0.129654
1.001000,-0.828232,0.655853,0.285660
1.101000,-0.706512,0.715225,0.041245
1.201000,-0.683350,0.713745,0.176300
1.304000,-0.660629,0.749969,0.103180
1.401000,-0.665314,0.737091,0.162643
1.501000,-0.604279,0.770508,0.147095
1.601000,-0.680984,0.675949,0.211182
1.705000,-0.716583,0.733597,0.165771
1.802000,-0.664474,0.611847,0.092682
1.902000,-0.697021,0.689377,0.280853
2.002000,-0.897034,0.750946,0.254272
2.112000,-0.909561,0.866898,0.222565
2.202000,-0.563705,0.488022,0.218018
2.302000,-0.715210,0.868942,-0.026367
2.402000,-0.497620,0.556061,0.233856
2.502000,-0.595978,0.632126,0.121719
2.602000,-0.879196,0.857697,0.247986
2.702000,-0.754303,0.803940,0.095459
2.802000,-0.785065,0.773254,0.203079
2.902000,-0.562500,0.587646,0.113022
3.002000,-0.488831,0.462662,0.112228
3.102000,-0.777939,0.573837,0.165054
3.202000,-1.201431,0.975693,0.353973
3.302000,-0.820145,0.676544,0.247849
3.402000,-0.636993,0.819778,0.020233
3.502000,-0.396271,0.497223,0.171417
3.603000,-0.474503,0.679657,-0.000793
3.703000,-0.869751,0.728622,0.234879
3.803000,-0.860367,0.713364,0.020767
3.903000,-0.853134,0.851593,0.194870
4.003000,-0.641418,0.534378,0.112350
4.103000,-0.475037,0.396622,0.210556
4.203000,-0.752274,0.634033,0.177856
4.303000,-1.125137,0.847397,0.175354
4.403000,-0.828812,0.744919,0.330887
4.503000,-0.677963,0.738876,0.017166
4.603000,-0.448608,0.405151,0.117340
4.703000,-0.619019,0.565628,0.063461
4.803000,-0.868378,0.992157,0.238693
4.903000,-0.830475,0.546326,0.124130
5.004000,-0.887115,0.663757,0.139557
5.104000,-0.398376,0.294861,0.168808
5.204000,-0.770111,0.719986,0.159897
5.304000,-1.018570,0.697403,0.250092
5.404000,-1.012573,0.513947,0.232407
5.504000,-0.897964,0.836258,0.135162
5.604000,-0.425354,0.500977,0.017319
5.704000,-0.478195,0.406326,0.178726
5.804000,-0.775940,0.821808,0.076813
5.904000,-0.973465,0.813629,0.238953
6.004000,-0.950500,0.859192,0.127548
6.104000,-0.640121,0.338013,0.173187
6.204000,-0.575668,0.312347,0.219574
6.304000,-0.852203,0.490768,0.190674
6.404000,-1.022583,0.863449,0.155441
6.505000,-0.939713,0.854523,0.384827
6.605000,-0.674637,0.585739,-0.019135
6.705000,-0.486374,0.364120,0.209351
6.805000,-0.646912,0.535217,0.077454
6.905000,-0.980789,0.791672,0.293121
7.005000,-1.014175,0.666077,0.157852
7.105000,-0.792923,0.564209,0.202896
7.205000,-0.410629,0.220047,0.178360
7.306000,-0.779282,0.564117,0.164230
7.405000,-1.183731,0.738831,0.317307
7.505000,-0.829498,0.566147,0.146973
7.605000,-0.808640,0.801498,0.026917
7.705000,-0.490891,0.349503,0.125015
7.806000,-0.625107,0.491287,0.160660
7.905000,-0.853271,0.832825,0.152908
8.006000,-0.830643,0.650528,-0.001877
8.106000,-0.859436,0.920624,0.125458
8.206000,-0.509949,0.336517,0.140030
8.306000,-0.605545,0.411713,0.213852
