time,x,y,z
0.000000,0.814224,0.045532,-0.547226
0.100000,0.812668,0.028671,-0.612289
0.200000,0.722015,0.029770,-0.586563
0.299000,0.784561,0.029144,-0.628189
0.400000,0.775436,0.014709,-0.618408
0.499000,0.772385,0.032974,-0.642776
0.599000,0.771286,0.028412,-0.641724
0.699000,0.778458,0.016815,-0.626556
0.800000,0.782822,0.024078,-0.636505
0.899000,0.781967,0.035355,-0.668839
0.999000,0.783432,0.013947,-0.640717
1.099000,0.763321,-0.008087,-0.594391
1.199000,0.783600,0.003159,-0.666428
1.299000,0.778473,-0.002701,-0.651779
1.399000,0.785690,-0.019302,-0.639542
1.499000,0.773148,-0.006851,-0.639771
1.599000,0.770554,-0.003723,-0.611053
1.699000,0.781357,0.008575,-0.621353
1.799000,0.780518,0.000656,-0.617905
1.899000,0.772781,-0.002518,-0.611145
1.999000,0.788193,0.011856,-0.637405
2.099000,0.786743,0.019333,-0.620438
2.199000,0.786835,0.003784,-0.633560
2.299000,0.781464,0.015900,-0.621750
2.399000,0.783340,0.039948,-0.621384
2.499000,0.777039,0.021362,-0.621033
2.599000,0.783920,0.032639,-0.614594
2.699000,0.771774,0.010406,-0.616348
2.799000,0.776077,0.033051,-0.633728
2.899000,0.775833,0.014206,-0.645142
2.999000,0.779465,0.017700,-0.640579
3.098000,0.765442,0.014587,-0.634399
3.198000,0.771378,0.000534,-0.659546
3.298000,0.774567,0.005035,-0.664749
3.398000,0.766617,0.005814,-0.646240
3.498000,0.762955,-0.003860,-0.618652
3.599000,0.765900,0.002197,-0.653198
3.698000,0.771637,-0.008072,-0.630966
3.798000,0.765533,0.004517,-0.646896
3.898000,0.771072,0.003159,-0.646317
3.998000,0.771362,0.014771,-0.627930
4.098000,0.756897,0.004181,-0.625946
4.198000,0.768967,0.002106,-0.652969
4.298000,0.768005,0.010788,-0.647736
4.398000,0.752869,0.007141,-0.630966
4.498000,0.772049,0.004440,-0.655121
4.598000,0.768982,0.005493,-0.646118
4.698000,0.761261,0.007889,-0.621124
4.798000,0.770782,0.005646,-0.647659
4.898000,0.771835,0.009598,-0.654739
4.998000,0.764328,0.016174,-0.632523
5.098000,0.764313,0.006378,-0.668854
5.198000,0.771988,0.004456,-0.657227
5.298000,0.758636,0.014633,-0.629822
5.398000,0.764694,0.009567,-0.653244
5.497000,0.774170,0.008377,-0.659470
5.599000,0.762039,-0.002640,-0.635086
5.697000,0.764938,0.009048,-0.649429
5.798000,0.772491,0.007187,-0.648300
5.897000,0.762863,0.019318,-0.646072
5.997000,0.769196,0.012070,-0.644363
6.097000,0.773590,0.007767,-0.650131
6.197000,0.766891,0.015106,-0.640503
6.297000,0.771011,0.014526,-0.634109
6.397000,0.788849,0.024323,-0.649231
6.497000,0.774323,0.024673,-0.631744
6.597000,0.768524,0.010757,-0.610596
6.697000,0.776749,0.024506,-0.612000
6.797000,0.787888,0.012756,-0.667618
6.897000,0.774673,0.003723,-0.595123
6.997000,0.766403,0.027740,-0.653793
7.097000,0.786026,0.013016,-0.641327
7.197000,0.770432,0.010529,-0.618240
7.297000,0.771820,0.014618,-0.626419
7.397000,0.778488,0.020218,-0.650894
7.497000,0.768951,0.009720,-0.628464
7.597000,0.778305,0.016022,-0.646698
7.697000,0.776016,0.008148,-0.641220
7.797000,0.773605,0.012589,-0.633560
7.897000,0.813354,0.015579,-0.631546
7.997000,0.779846,0.001892,-0.629272
8.097000,0.748642,0.017670,-0.653915
8.197000,0.744644,-0.010773,-0.648010
8.297000,0.789444,-0.007950,-0.648071
8.396000,0.767731,0.003891,-0.624939
8.497000,0.759140,-0.006302,-0.626282
8.596000,0.776062,-0.002869,-0.629211
8.696000,0.781052,0.000275,-0.650345
8.796000,0.768265,0.005157,-0.643417
8.896000,0.765610,-0.003906,-0.641800
8.996000,0.770523,0.006149,-0.654587
