time,x,y,z
0.000000,-0.010696,-0.027054,-1.024048
0.097000,-0.003860,-0.030090,-1.000473
0.197000,-0.003632,-0.031219,-1.000687
0.297000,-0.002945,-0.031265,-0.998779
0.397000,-0.003113,-0.033524,-0.999634
0.497000,-0.002274,-0.031143,-1.001022
0.598000,-0.002441,-0.030609,-1.001465
0.698000,-0.002121,-0.033676,-1.002518
0.798000,-0.000992,-0.034149,-1.001328
0.898000,-0.000946,-0.031479,-0.996658
0.998000,-0.000229,-0.034134,-0.999817
1.098000,-0.002213,-0.032486,-0.999268
1.198000,-0.003021,-0.033127,-0.996918
1.299000,-0.002975,-0.032043,-0.998581
1.398000,-0.002701,-0.033005,-0.999207
1.498000,-0.002884,-0.031311,-0.996292
1.598000,-0.002289,-0.032333,-0.998138
1.698000,-0.002213,-0.032043,-0.996567
1.798000,-0.002518,-0.032089,-0.996719
1.898000,-0.001953,-0.033218,-1.001389
1.998000,-0.002487,-0.030899,-0.997040
2.098000,-0.004135,-0.032364,-0.997086
2.198000,-0.002640,-0.033020,-1.003632
2.298000,-0.001572,-0.030472,-0.995117
2.398000,-0.003265,-0.032272,-0.996628
2.498000,-0.001770,-0.032562,-0.997864
2.599000,-0.001480,-0.031631,-0.998688
2.699000,-0.001404,-0.034470,-0.997696
2.799000,-0.002914,-0.033905,-1.000732
2.899000,-0.000717,-0.031128,-0.994156
2.999000,-0.001160,-0.034302,-1.001038
3.099000,-0.000656,-0.031494,-1.000824
3.199000,-0.002518,-0.032272,-0.998886
3.299000,-0.003357,-0.032867,-0.996689
3.399000,-0.000961,-0.033112,-1.001511
3.499000,-0.001266,-0.033691,-1.003067
3.599000,-0.003525,-0.034332,-1.000015
3.699000,-0.002472,-0.030273,-0.994385
3.799000,-0.001938,-0.030060,-0.999939
3.899000,-0.002716,-0.035721,-1.001953
3.999000,-0.001846,-0.033020,-0.996750
4.099000,-0.001526,-0.031555,-0.999588
4.199000,-0.003220,-0.032318,-0.998352
4.299000,-0.001404,-0.032516,-0.998734
4.400000,-0.002075,-0.033890,-1.001419
4.500000,-0.002106,-0.032486,-0.996902
4.600000,-0.002045,-0.031204,-0.998154
