time,x,y,z
0.000000,0.367172,-0.301987,-0.840103
0.095000,0.327805,-0.295868,-0.989578
0.195000,-0.104675,-0.318756,-0.824814
0.295000,-0.150955,-0.093857,-0.672440
0.395000,-0.271881,-0.195755,-1.066757
0.495000,0.103745,-0.273666,-0.466217
0.595000,-0.315536,0.028854,-0.408081
0.695000,-0.821106,0.035507,-0.482880
0.795000,-1.082123,-0.126389,-0.527374
0.895000,-1.018005,-0.118317,-0.227585
0.995000,-1.844604,0.872589,-0.011429
1.095000,-1.481659,0.313797,-0.363815
1.195000,-0.540390,-0.129745,0.000854
1.295000,-0.421463,-0.096634,-0.093262
1.395000,-0.691086,0.091385,-0.158447
1.495000,-1.722260,0.894653,-0.457565
1.595000,-0.507538,0.298431,-0.175003
1.695000,-0.485291,-0.123215,0.001877
1.795000,-0.679626,0.159775,0.080231
1.895000,-2.066742,1.745575,-0.000015
1.995000,-1.518906,0.406174,0.246887
2.095000,-0.523712,-0.052307,0.247772
2.194000,-0.399780,-0.195419,-0.059006
2.294000,-1.199631,0.447128,-0.110626
2.394000,-1.659348,0.897293,-0.282578
2.495000,-0.663681,0.152725,-0.230209
2.594000,-0.288681,0.146637,0.067261
2.694000,-0.516541,0.288895,0.032120
2.794000,-1.417053,1.131683,0.025986
2.894000,-1.839737,0.731705,-0.037628
2.994000,-0.805878,-0.076035,0.353409
3.094000,-0.365417,-0.079132,-0.046402
3.194000,-1.050461,0.190231,-0.042313
3.294000,-1.934174,1.351212,-0.563385
3.394000,-0.993225,0.573853,-0.234436
3.494000,-0.464920,0.172546,-0.157394
3.594000,-0.324921,0.311768,0.074356
3.694000,-0.523727,0.352875,-0.149765
3.794000,-1.462540,1.462372,0.179276
3.894000,-1.429184,0.242310,0.293686
3.994000,-0.513458,-0.061218,-0.129211
4.094000,-0.599792,0.034897,-0.055573
4.194000,-1.900635,1.182327,-0.029617
4.294000,-1.879318,0.715790,-0.256516
4.394000,-0.563812,0.166473,-0.032303
4.494000,-0.083588,0.123398,0.109711
4.594000,-0.565353,0.301178,-0.037476
4.694000,-1.345047,1.089081,0.089737
4.794000,-1.677979,0.621307,-0.173401
4.894000,-0.632553,-0.003021,0.179352
4.994000,-0.527344,0.292664,-0.108978
5.094000,-0.655380,0.037079,-0.108810
5.194000,-2.164413,1.981552,-0.714020
5.293000,-1.789093,0.494324,-0.349640
5.393000,-0.503922,0.522842,-0.138077
5.493000,-0.264282,0.495514,0.024628
5.593000,-0.659912,0.710526,-0.059616
5.693000,-1.292679,1.059250,-0.121429
5.793000,-1.164841,0.134064,-0.044189
5.893000,-0.766205,0.572052,-0.008331
5.993000,-1.152573,0.288727,-0.332977
6.093000,-1.039612,0.297531,0.036957
6.193000,-1.237518,0.851120,-0.162384
6.293000,-1.059875,0.729172,-0.354782
6.393000,-0.886734,0.532639,-0.205750
6.493000,-0.704010,0.515717,-0.147858
6.593000,-0.381241,0.403488,-0.188950
6.693000,-0.477112,0.151901,-0.066498
6.793000,-0.902924,0.389084,-0.053574
6.893000,-1.462128,1.069382,-0.113281
6.993000,-1.077225,0.358902,0.369675
7.093000,-0.650162,0.141434,-0.130280
7.193000,-0.539536,-0.005066,-0.003891
7.293000,-0.797318,0.038223,0.069183
7.393000,-2.363327,1.367981,-0.086197
7.493000,-1.409195,0.793106,-0.280273
7.593000,-0.446411,0.189011,-0.096756
7.693000,-0.444092,0.208191,-0.048386
7.793000,-0.643646,0.241119,0.034653
7.893000,-0.771011,0.683746,-0.147003
7.993000,-1.455276,0.931610,-0.126572
8.093000,-1.026047,-0.098343,0.472244
8.193000,-0.521393,0.001984,-0.136566
8.293000,-0.545410,-0.053406,-0.009506
8.393000,-1.183487,0.370361,-0.112000
8.492000,-1.359848,0.947983,-0.497238
8.592000,-0.790970,0.330276,-0.243622
8.693000,-0.471298,0.211990,-0.019897
8.792000,-0.626846,0.220474,0.096725
8.892000,-0.727646,0.449860,-0.010559
8.992000,-1.352768,1.404984,-0.115646
9.092000,-1.648605,0.232635,0.054306
9.192000,-0.697876,0.004898,0.147980
9.292000,-0.634109,0.149155,-0.047302
9.392000,-0.918045,0.007828,-0.046112
9.492000,-2.119507,1.354858,-0.042038
9.592000,-1.025040,0.767975,-0.303101
9.692000,-0.396896,0.212509,-0.188904
9.792000,-0.483322,0.169006,-0.060852
9.892000,-0.481308,0.214523,0.080627
9.992000,-1.317963,1.222977,0.097107
10.092000,-1.724075,0.465149,-0.112640
10.192000,-0.569595,0.093994,0.020630
10.292000,-0.597214,-0.022110,-0.054642
10.392000,-0.932129,0.098175,-0.061462
10.492000,-1.521072,0.550278,-0.105087
10.592000,-1.803940,1.097839,-0.182861
10.692000,-0.722351,0.441299,-0.256836
10.792000,-0.426895,0.153152,0.038300
10.892000,-0.407852,0.123184,0.036148
10.992000,-0.614655,0.353256,0.040802
11.092000,-1.746002,1.323349,0.058899
11.192000,-1.790634,0.626923,-0.080826
11.292000,-0.821198,-0.132843,0.178650
11.392000,-0.581192,-0.080460,-0.069458
11.491000,-0.943832,0.076355,-0.110565
11.591000,-1.493744,0.634872,-0.652237
11.691000,-1.183868,0.994888,-0.656540
11.791000,-0.581833,0.386520,-0.634689
11.891000,-0.284821,0.197891,-0.677887
11.992000,0.164383,0.196518,-0.828323
