time,x,y,z
0.000000,0.117966,-0.376678,-0.950226
0.099000,0.081543,-0.427887,-0.923325
0.200000,0.177521,-0.324829,-0.892365
0.300000,0.313553,-0.203339,-0.879593
0.400000,0.134766,-0.223801,-0.876770
0.500000,0.217758,-0.345215,-0.668747
0.600000,0.178223,-0.271896,-0.931488
0.700000,0.076065,-0.319031,-1.092789
0.800000,0.135559,-0.221024,-1.236664
0.900000,0.041473,-0.051224,-0.997925
1.000000,-0.058441,-0.114120,-1.110214
1.100000,-0.029556,-0.219849,-0.694275
1.200000,-0.053070,-0.348846,-1.117325
1.300000,0.223129,-0.152817,-1.162308
1.400000,0.188293,-0.074097,-1.282959
1.500000,0.520798,-0.079056,-0.855011
1.601000,0.162445,-0.084045,-0.653732
1.700000,0.124374,-0.038788,-0.705475
1.801000,0.106018,-0.105713,-1.054703
1.901000,0.039215,0.051865,-1.359421
2.000000,-0.015091,0.024292,-1.413086
2.101000,-0.233307,0.001465,-0.959274
2.201000,-0.094498,-0.137817,-0.368896
2.301000,-0.065323,-0.156006,-0.144943
2.401000,-0.220001,0.005463,-1.502167
2.501000,-0.075302,0.087494,-1.559525
2.601000,0.150269,0.183304,-0.906754
2.701000,-0.178879,0.199646,-1.110962
2.801000,-0.193192,-0.030655,-0.647003
2.901000,-0.362381,0.214203,-0.742126
3.001000,-0.714218,0.633652,-1.673065
3.102000,-0.556213,0.462311,-0.959824
3.201000,-0.466217,0.385040,-0.673935
3.301000,-0.274399,0.058228,-0.326584
3.402000,-0.544235,0.459167,-0.550095
3.502000,-0.808929,0.390610,-0.691269
3.602000,-1.011642,0.631699,-0.703445
3.702000,-0.766190,0.617004,-0.785507
3.802000,-0.492172,0.399963,-0.542480
3.902000,-0.350189,0.023117,-0.364609
4.002000,-0.404800,0.433014,-0.261154
4.102000,-1.096466,1.067581,-0.852722
4.202000,-0.867599,0.742874,-0.568863
4.302000,-0.589279,0.512604,-0.355316
4.402000,-0.315125,0.143341,-0.161438
4.502000,-0.460785,0.347961,-0.356491
4.603000,-0.768845,0.615662,-0.532028
4.702000,-0.972977,0.820831,-0.641464
4.802000,-0.847275,0.780914,-0.685562
4.902000,-0.555634,0.551895,-0.453979
5.003000,-0.292709,0.215683,-0.196136
5.102000,-0.499603,0.730911,-0.238571
5.203000,-0.919449,1.215469,-0.697052
5.303000,-0.902740,1.000259,-0.416351
5.403000,-0.583069,0.786377,-0.172287
5.503000,-0.266861,0.248306,-0.010788
5.603000,-0.518402,0.491318,-0.281097
5.703000,-0.731659,0.733154,-0.375061
5.803000,-0.941254,0.909698,-0.388748
5.903000,-0.831696,0.778702,-0.578278
6.003000,-0.474792,0.504715,-0.246750
6.103000,-0.353363,0.315277,-0.084167
6.203000,-0.586578,0.782852,-0.156784
6.303000,-0.838501,1.194107,-0.263443
6.403000,-0.661484,1.193893,-0.158249
6.503000,-0.740707,0.902542,-0.142624
6.603000,-0.423859,0.325119,0.201355
6.703000,-0.451172,0.510712,0.149597
6.803000,-0.472275,0.837250,-0.253250
6.903000,-0.510208,0.559647,-0.169342
7.004000,-0.889664,0.773941,-0.079712
7.104000,-0.808060,0.665771,-0.333160
7.204000,-0.839966,0.682846,-0.128983
7.304000,-0.571045,0.600632,-0.009766
7.404000,-0.446579,0.768448,-0.212143
7.504000,-0.653427,0.672287,-0.125519
7.604000,-0.844147,0.901062,0.001907
7.704000,-0.792343,0.865219,-0.222321
7.804000,-0.363647,0.689728,0.187592
7.904000,-0.318207,0.729568,0.010849
8.004000,-0.592010,0.693985,-0.338440
8.104000,-1.066971,1.019547,0.067856
8.204000,-0.830292,1.231003,-0.218018
8.304000,-0.539749,0.639297,-0.166901
8.404000,-0.410126,0.490509,0.139191
8.504000,-0.568710,1.200867,-0.060623
8.605000,-0.673828,1.339127,-0.035873
8.705000,-0.626831,1.076553,-0.332001
8.805000,-0.333878,0.491623,0.090393
8.905000,-0.344025,0.367813,0.021088
9.005000,-0.673035,0.868805,-0.124420
9.105000,-0.767258,0.846848,-0.148468
9.205000,-0.887161,1.234573,-0.158234
9.305000,-0.840836,0.819107,-0.176498
9.405000,-0.372223,0.480652,-0.119400
9.505000,-0.236267,0.460083,-0.085068
9.605000,-0.613586,1.207932,-0.092712
9.705000,-0.707550,1.282303,-0.024673
9.805000,-0.680283,1.042908,-0.223175
9.905000,-0.456177,0.649292,-0.026321
10.005000,-0.273010,0.244049,0.106628
10.105000,-0.522476,0.777756,-0.050720
10.205000,-0.882370,1.008896,-0.174759
10.305000,-0.993256,1.171616,-0.074356
10.406000,-0.723267,0.813797,-0.197128
10.506000,-0.405350,0.514328,-0.061569
10.606000,-0.246643,0.424820,-0.001419
10.706000,-0.557465,1.089172,-0.111984
10.806000,-0.734604,1.277969,-0.196915
10.906000,-0.601440,0.995056,-0.057724
11.006000,-0.509003,0.692780,-0.056396
11.106000,-0.287903,0.349915,0.128799
11.236000,-0.522537,0.896072,-0.060318
11.336000,-0.819275,0.995361,-0.139435
11.436000,-0.867508,1.195480,-0.051910
11.586000,-0.450668,0.770020,-0.156311
11.686000,-0.292938,0.497330,-0.088516
11.786000,-0.344391,0.724945,-0.099518
11.886000,-0.602097,1.016953,-0.205124
11.987000,-0.650711,1.158325,-0.088974
12.087000,-0.565765,1.192368,-0.272247
12.187000,-0.489746,0.866318,0.129791
12.287000,-0.286072,0.484543,-0.030045
12.387000,-0.355865,0.388443,0.129776
12.487000,-0.708313,1.060272,-0.179413
12.587000,-0.836044,0.996857,0.026489
12.687000,-0.776443,1.062271,-0.282242
12.787000,-0.425629,0.782532,-0.084839
12.887000,-0.329025,0.507294,-0.111908
12.987000,-0.352814,0.487778,-0.003967
13.087000,-0.589127,1.371719,-0.221405
13.187000,-0.707520,1.250916,-0.018875
13.287000,-0.556076,0.948318,-0.089920
13.387000,-0.387436,0.792068,-0.040298
13.487000,-0.269592,0.430862,0.038467
13.587000,-0.360504,0.597122,0.082779
13.688000,-0.607635,1.095810,-0.259567
13.788000,-0.976105,1.114532,-0.017273
13.888000,-0.712891,0.875290,-0.175522
13.988000,-0.539413,0.674530,-0.200531
14.088000,-0.730621,0.495514,-0.086838
14.188000,-1.050385,0.702301,-0.010864
14.288000,-1.331329,0.586899,0.007263
14.388000,-1.154358,0.496063,-0.220947
14.488000,-0.273987,0.271423,-0.612534
14.588000,-0.049042,-0.074417,-0.447723
14.688000,-0.241531,-0.213470,-0.722092
14.788000,-0.267761,-0.411530,-0.640106
14.888000,-0.268021,-0.368973,-0.930649
14.988000,-0.203842,-0.407394,-0.910187
