time,x,y,z
0.000000,0.024780,-0.652466,-0.802155
0.103000,-0.005539,-0.669586,-0.743790
0.199000,-0.005737,-0.638718,-0.770142
0.299000,-0.004410,-0.639450,-0.744705
0.399000,-0.027710,-0.625793,-0.756271
0.499000,-0.036789,-0.620605,-0.754028
0.599000,-0.046555,-0.629684,-0.781082
0.699000,-0.083206,-0.615173,-0.775284
0.799000,-0.032745,-0.628998,-0.826035
0.899000,-0.081100,-0.624268,-0.773895
0.999000,-0.037628,-0.620926,-0.707550
1.099000,-0.050919,-0.614883,-0.764420
1.200000,-0.025894,-0.627335,-0.775772
1.300000,-0.020416,-0.621140,-0.780548
1.400000,-0.032349,-0.612473,-0.777206
1.500000,-0.017609,-0.623535,-0.797424
1.600000,0.019379,-0.616074,-0.792984
1.700000,-0.055939,-0.616638,-0.795517
1.800000,-0.058273,-0.611877,-0.774979
1.900000,-0.010864,-0.632004,-0.786865
2.000000,-0.019196,-0.631516,-0.809189
2.100000,-0.038528,-0.611755,-0.791870
2.200000,-0.023376,-0.626053,-0.787674
2.300000,-0.006882,-0.630524,-0.795349
2.400000,-0.039047,-0.607803,-0.784714
2.501000,-0.010895,-0.649734,-0.730499
2.600000,-0.004532,-0.626892,-0.846954
2.700000,-0.011978,-0.619522,-0.798935
2.800000,-0.041016,-0.631577,-0.739700
2.900000,-0.042999,-0.631851,-0.785156
3.000000,-0.025528,-0.620956,-0.780899
3.100000,-0.027069,-0.626999,-0.771362
3.200000,-0.043442,-0.627090,-0.776443
3.301000,0.026627,-0.658310,-0.704102
3.401000,-0.013489,-0.645218,-0.781525
3.501000,-0.021591,-0.624222,-0.771759
3.600000,-0.042480,-0.623077,-0.755630
3.701000,-0.013428,-0.636444,-0.775757
3.801000,-0.014145,-0.638092,-0.735031
3.901000,-0.040695,-0.626694,-0.810669
4.001000,-0.014862,-0.617950,-0.800674
4.101000,-0.015167,-0.635406,-0.765457
4.201000,-0.027725,-0.625305,-0.809021
4.301000,-0.056686,-0.612427,-0.773102
